net,length_um
net17,597.54
_098_,239.56
_065_,140.98
clknet_3_0__leaf_clk,124.65
clknet_0_clk,118.84
u_am0.i_index\[0\],114.66
u_am0.i_index\[1\],105.1
_071_,103.91
u_sort.bucket_counter\[0\],101.97
_074_,95.92
clk,90.06
clknet_3_2__leaf_clk,88.6
clknet_3_3__leaf_clk,88.46
u_am0.i_index\[2\],81.2
_070_,78.44
_002_,70.86
clknet_3_6__leaf_clk,70.56
clknet_3_4__leaf_clk,66.74
clknet_3_1__leaf_clk,66.62
_134_,56.8
clknet_3_5__leaf_clk,56.34
clknet_3_7__leaf_clk,52.66
_069_,51.22
_117_,48.28
_145_,45.68
_099_,44.82
_126_,44.54
_096_,40.28
_156_,40.24
_111_,36.18
net7,36.06
_188_,34.98
net10,34.88
_092_,34.32
_102_,32.85
_101_,31.595
net49,31.36
net55,29.36
u_sort.bucket_reg\[1\]\[0\],27.88
net15,27.68
u_sort.bucket_reg\[1\]\[1\],27.52
_185_,27.51
net64,27.355
net45,26.42
u_sort.bucket_reg\[2\]\[0\],26.24
_087_,26.07
net21,25.86
net61,25.66
u_sort.bucket_reg\[0\]\[1\],24.92
net9,24.5
net13,24.02
net56,23.96
net52,23.88
net14,23.84
net58,23.06
net34,22.7
net60,22.5
u_sort.valid_reg\[1\],22.12
u_sort.bucket_reg\[4\]\[1\],21.78
net16,21.2
u_sort.bucket_reg\[3\]\[1\],20.88
u_sort.valid_reg\[3\],20.88
_077_,20.82
_088_,20.76
u_sort.bucket_reg\[3\]\[0\],20.515
net63,20.48
_191_,20.255
_080_,19.6
u_sort.busy,19.12
net12,18.78
net3,18.56
_112_,18.54
_113_,18.06
_109_,18.02
_106_,17.4
_091_,17.34
_186_,17.28
u_am2.max\[0\],17.18
net36,17.18
net4,16.66
_152_,16.58
net39,16.4
u_sort.bucket_reg\[4\]\[0\],15.99
net22,15.98
_108_,15.9
u_am0.b_i\[0\],15.4
u_am0.b_i\[2\],15.26
u_sort.bucket_reg\[4\]\[2\],14.84
net5,14.84
net6,14.56
net8,14.5
net43,14.12
net37,14
u_sort.bucket_reg\[0\]\[0\],13.9
net50,13.78
_103_,13.76
net23,13.74
_083_,13.7
u_sort.bucket_reg\[0\]\[2\],13.2
u_am4.max\[0\],12.96
u_sort.valid_reg\[2\],12.895
u_sort.bucket_reg\[1\]\[2\],12.8
_066_,12.76
u_am3.max\[1\],12.46
u_sort.bucket_reg\[2\]\[1\],12.08
u_sort.valid_reg\[0\],12.075
net26,11.84
o_bucket[0],11.65
_090_,11.46
u_am4.b_i\[0\],11.36
_084_,10.98
net2,10.84
_000_,10.765
net18,10.7
_004_,10.68
net71,10.54
u_am1.max\[2\],10.5
u_am1.max\[0\],10.36
o_index[2],10.35
o_valid,10.07
u_am0.max\[1\],9.98
net24,9.98
_142_,9.9
net25,9.9
_174_,9.82
_203_,9.4
_130_,9.24
u_am3.max\[2\],9.24
net47,9.18
u_am2.max\[1\],9.16
u_am4.max\[1\],9.16
i_valid,9.03
u_am4.max\[2\],8.98
_110_,8.96
o_index[0],8.93
_143_,8.915
_141_,8.9
_147_,8.9
u_am0.max\[0\],8.9
_057_,8.86
_122_,8.695
_060_,8.68
u_am2.max\[2\],8.66
_150_,8.52
u_sort.bucket_reg\[3\]\[2\],8.48
_104_,8.4
i_value4[2],8.37
net19,8.16
_035_,8.12
_129_,8.12
net20,7.94
u_am3.b_i\[0\],7.92
u_am4.b_i\[1\],7.7
_095_,7.64
_179_,7.64
net53,7.56
net48,7.46
_062_,7.28
_128_,7.22
_160_,7.22
_005_,7.2
_046_,7.1
_075_,7.1
net11,7.1
_170_,6.98
net44,6.96
_078_,6.94
u_am4.b_i\[2\],6.78
_196_,6.74
_028_,6.72
u_am3.max\[0\],6.72
o_bucket[2],6.67
o_index[1],6.67
net28,6.66
_089_,6.64
_121_,6.64
_140_,6.64
u_am0.max\[2\],6.62
_119_,6.6
_100_,6.52
_094_,6.5
net72,6.5
net65,6.44
_114_,6.4
_133_,6.3
u_am3.b_i\[1\],6.3
net38,6.3
_164_,6.26
_178_,6.26
_107_,6.2
_148_,6.14
_151_,6.08
net54,6.04
net69,6.04
_097_,6.02
net51,5.98
i_value0[0],5.97
i_value0[2],5.97
i_value1[0],5.97
i_value1[2],5.97
i_value2[1],5.97
i_value3[0],5.97
i_value3[2],5.97
i_value4[0],5.97
i_value4[1],5.97
rst_n,5.97
u_sort.bucket_reg\[2\]\[2\],5.94
net66,5.92
_047_,5.86
_155_,5.86
_183_,5.84
_168_,5.8
_165_,5.74
_085_,5.72
_135_,5.68
_189_,5.68
o_bucket[1],5.65
_024_,5.5
_038_,5.5
_013_,5.46
_202_,5.4
_020_,5.34
_146_,5.34
_210_,5.34
_058_,5.26
_162_,5.26
_158_,5.22
_182_,5.22
_153_,5.16
_180_,5.14
_064_,5.04
u_am1.max\[1\],5.02
_205_,5
_115_,4.925
_031_,4.92
_116_,4.92
_161_,4.92
_200_,4.92
u_am1.b_i\[0\],4.92
_034_,4.88
_157_,4.88
_169_,4.88
_172_,4.88
_206_,4.8
_120_,4.76
_086_,4.68
net32,4.68
net42,4.66
u_am1.b_i\[2\],4.6
_006_,4.54
_017_,4.54
_029_,4.54
_184_,4.46
_176_,4.42
u_am0.b_i\[1\],4.42
_167_,4.34
_018_,4
_093_,4
i_value0[1],3.93
i_value1[1],3.93
i_value2[0],3.93
i_value2[2],3.93
i_value3[1],3.93
_171_,3.88
_204_,3.88
_193_,3.86
_081_,3.78
net27,3.76
_023_,3.685
u_am3.b_i\[2\],3.68
net29,3.68
net41,3.68
_144_,3.54
_163_,3.54
_208_,3.54
_044_,3.42
_190_,3.42
_012_,3.2
_039_,3.2
_041_,3.1
_175_,3.08
_195_,3.08
u_am1.b_i\[1\],3.08
net62,3.08
_149_,2.98
_132_,2.965
_154_,2.965
_127_,2.96
u_sort.valid_reg\[4\],2.96
net40,2.96
_001_,2.925
_037_,2.925
_056_,2.86
_043_,2.74
_025_,2.64
_032_,2.64
_059_,2.64
u_control.o_start_sort,2.64
net30,2.64
_048_,2.62
_076_,2.62
_105_,2.62
_181_,2.62
_124_,2.505
_118_,2.5
_139_,2.5
_166_,2.5
_187_,2.5
net67,2.3
net68,2.3
net73,2.3
_019_,2.28
_063_,2.28
_003_,2.18
_007_,2.18
_014_,2.18
_026_,2.18
_027_,2.18
_033_,2.18
_036_,2.18
_040_,2.18
_049_,2.18
_050_,2.18
_051_,2.18
_053_,2.18
_054_,2.18
_061_,2.18
_125_,2.18
net31,2.18
_073_,2.165
_009_,2.16
_068_,2.16
_079_,2.16
_123_,2.16
_197_,2.16
u_am2.b_i\[1\],2.16
u_am2.b_i\[2\],2.16
_136_,2.06
_138_,2.06
_173_,2.06
_177_,2.06
_082_,2.04
_207_,2.04
u_sort.bucket_counter\[2\],2.04
net1,2.04
_008_,2.005
